id,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PPG,RPG,APG
7,Arike Ogunbowale,DAL,28.0,18.0,5.0,13.0,613.0,302.0,99.0,273.0,36.3,33.0,109.0,30.3,71.0,76.0,93.4,5.0,43.0,48.0,70.0,42.0,27.0,5.0,47.0,517.0,0.0,0.0,-81.0,16.8,2.7,3.9
10,Rhyne Howard,ATL,25.0,17.0,11.0,6.0,610.0,285.0,89.0,260.0,34.2,49.0,169.0,29.0,58.0,73.0,79.5,19.0,69.0,88.0,80.0,36.0,28.0,15.0,56.0,588.0,0.0,0.0,89.0,16.8,5.2,4.7
0,Allisha Gray,ATL,30.0,17.0,11.0,6.0,606.0,332.0,105.0,224.0,46.9,42.0,99.0,42.4,80.0,97.0,82.5,18.0,74.0,92.0,69.0,28.0,16.0,9.0,51.0,585.0,0.0,0.0,114.0,19.5,5.4,4.1
2,Kelsey Plum,LAS,30.0,16.0,5.0,11.0,575.0,329.0,98.0,258.0,38.0,40.0,119.0,33.6,93.0,103.0,90.3,2.0,46.0,48.0,89.0,51.0,24.0,3.0,52.0,560.0,0.0,0.0,-44.0,20.6,3.0,5.6
23,Gabby Williams,SEA,28.0,17.0,10.0,7.0,572.0,228.0,87.0,196.0,44.4,30.0,82.0,36.6,24.0,29.0,82.8,11.0,68.0,79.0,78.0,40.0,45.0,10.0,26.0,525.0,2.0,0.0,86.0,13.4,4.6,4.6
15,Sonia Citron,WAS,21.0,17.0,8.0,9.0,566.0,256.0,86.0,183.0,47.0,29.0,76.0,38.2,55.0,63.0,87.3,14.0,71.0,85.0,36.0,34.0,20.0,5.0,37.0,456.0,2.0,0.0,-18.0,15.1,5.0,2.1
4,Skylar Diggins,SEA,34.0,17.0,10.0,7.0,557.0,322.0,106.0,229.0,46.3,28.0,67.0,41.8,82.0,103.0,79.6,8.0,30.0,38.0,103.0,45.0,21.0,12.0,43.0,557.0,1.0,0.0,107.0,18.9,2.2,6.1
12,Dearica Hamby,LAS,31.0,17.0,5.0,12.0,554.0,280.0,106.0,203.0,52.2,6.0,26.0,23.1,62.0,103.0,60.2,48.0,85.0,133.0,65.0,49.0,33.0,9.0,45.0,568.0,5.0,0.0,-27.0,16.5,7.8,3.8
8,Nneka Ogwumike,SEA,34.0,17.0,10.0,7.0,524.0,289.0,121.0,228.0,53.1,18.0,50.0,36.0,29.0,36.0,80.6,27.0,107.0,134.0,37.0,33.0,23.0,11.0,38.0,546.0,3.0,0.0,116.0,17.0,7.9,2.2
6,Kelsey Mitchell,IND,29.0,16.0,8.0,8.0,510.0,303.0,110.0,244.0,45.1,35.0,99.0,35.4,48.0,66.0,72.7,6.0,24.0,30.0,46.0,24.0,14.0,2.0,37.0,446.0,0.0,0.0,70.0,18.9,1.9,2.9
1,Breanna Stewart,NYL,30.0,16.0,11.0,5.0,509.0,332.0,111.0,218.0,50.9,11.0,51.0,21.6,99.0,121.0,81.8,11.0,85.0,96.0,59.0,38.0,21.0,19.0,33.0,578.0,2.0,0.0,98.0,20.8,6.0,3.7
22,Brionna Jones,ATL,29.0,17.0,11.0,6.0,503.0,234.0,89.0,178.0,50.0,6.0,26.0,23.1,50.0,67.0,74.6,56.0,79.0,135.0,36.0,29.0,17.0,10.0,43.0,465.0,7.0,0.0,66.0,13.8,7.9,2.1
24,Chelsea Gray,LVA,32.0,16.0,8.0,8.0,503.0,222.0,72.0,167.0,43.1,29.0,80.0,36.3,49.0,55.0,89.1,12.0,54.0,66.0,69.0,53.0,22.0,8.0,34.0,446.0,1.0,0.0,13.0,13.9,4.1,4.3
